Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cyprus,...,...,Development,GDP (current US$ Mil),          24961.99,          22638.61,          20890.94,          19779.15,          23128.11,          23900.87,          24978.51,          27565.47,          25732.43,          25945.39,          27844.70,          23968.76,          20072.79,          18433.41,          17320.55,          14547.33,          11420.23,          10397.90,           9985.84,          10497.91,          10248.62,           9547.82,          10011.92,           9933.13,           7425.70,           6590.29,           6912.15,           5770.20,           5591.13,           4563.48,           4278.79
Cyprus,...,...,Export,No. Of Export partners,            199.00,            193.00,            193.00,            191.00,            187.00,            184.00,            179.00,            184.00,            177.00,            173.00,            164.00,            175.00,            167.00,            167.00,            170.00,            161.00,            160.00,            164.00,            165.00,            152.00,            148.00,            147.00,            144.00,            145.00,            132.00,            124.00,            114.00,            110.00,            110.00,            114.00,
Cyprus,...,...,Export,No. Of Export products,           1672.00,           1696.00,           1707.00,           1771.00,           1736.00,           1714.00,           1714.00,           1594.00,           1496.00,           1581.00,           1580.00,           1673.00,           1680.00,           1816.00,           2073.00,           1979.00,           2096.00,           2091.00,           2124.00,           2236.00,           2220.00,           2291.00,           2342.00,           2305.00,           2301.00,           2288.00,           2312.00,           2338.00,           2326.00,           2358.00,
Cyprus,...,...,Import,No. Of Import partners,            164.00,            164.00,            161.00,            151.00,            154.00,            144.00,            151.00,            153.00,            153.00,            155.00,            153.00,            158.00,            157.00,            163.00,            164.00,            161.00,            168.00,            166.00,            161.00,            145.00,            150.00,            142.00,            140.00,            137.00,            143.00,            138.00,            126.00,            117.00,            119.00,            117.00,
Cyprus,...,...,Import,No. Of Import products,           3827.00,           3835.00,           3843.00,           3836.00,           3843.00,           3761.00,           3861.00,           3883.00,           3909.00,           3925.00,           3928.00,           3951.00,           4131.00,           4181.00,           4241.00,           4152.00,           4212.00,           4263.00,           4273.00,           4261.00,           4229.00,           4196.00,           4259.00,           4276.00,           4291.00,           4271.00,           4317.00,           4248.00,           4271.00,           4304.00,
Cyprus,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,              1.00,              3.00,              2.00,              2.00,              2.00,              2.00,              2.00,,,,,,,,
Cyprus,...,...,Development,Trade Balance (current US$ Mil),            196.25,            -84.72,            355.29,            519.12,            217.33,            377.74,           -477.86,          -1054.86,          -2146.49,          -1387.19,          -3553.68,          -1140.23,           -589.11,            -98.22,            -21.48,            221.06,            133.53,            475.04,            242.73,            277.52,            254.70,           -132.88,            -43.42,            -85.82,            -29.49,            -28.58,           -772.99,           -577.52,           -313.50,           -383.98,           -232.17
Cyprus,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,             98.45,            209.37,            112.36,,,,,,,
Cyprus,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            378.17,            275.54,            221.29,            235.03,            319.32,            337.21,            341.08,            356.69,            216.52,            189.45,            341.42,            232.66,            262.62,            243.22,             90.55,             89.78,             69.28,,,,,,,,,,,,,,
Cyprus,Cayman Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            753.48,,,            185.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            665.76,            604.76,            381.78,            790.90,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,             64.94,,,,
Cyprus,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,            104.32,            262.16,,,,,,,,,,,,,,,,,
Cyprus,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            359.59,,,,,,,,,,,,,,,            268.96,
Cyprus,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             93.41,            139.74,            113.41,             91.16,             91.41,,             81.84,             58.35,             36.15,,,,,,,,,,             44.78,,             49.12,             49.66,,
Cyprus,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            644.40,           1309.09,            486.02,            603.92,            419.13,            515.10,            705.80,            774.03,            683.97,            890.36,            810.78,            624.22,            527.96,            512.73,            336.06,            359.34,            268.07,            269.09,            248.16,            311.94,            220.65,            280.79,            301.29,            247.79,,            297.53,            250.39,            231.90,            208.23,
Cyprus,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            332.81,            259.29,            303.42,            222.62,            298.12,            355.31,            369.85,            461.61,            320.50,            306.93,            321.90,            294.79,            187.11,            176.31,            138.95,             84.73,             69.38,             81.54,             77.73,             89.60,            103.87,             89.78,             80.49,             73.81,             72.77,             66.57,             83.62,             79.58,             93.78,             81.13,
Cyprus,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1921.91,           1757.73,           1409.60,           1445.59,           1621.60,           1488.51,           1567.32,           1863.82,           1616.34,           1586.59,           1819.35,           1529.62,           1222.28,           1090.16,            867.57,            535.08,            389.60,            349.55,            330.02,            300.35,            300.99,            264.65,            287.04,            265.46,,            210.95,,,,,
Cyprus,Ireland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            182.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Israel,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             82.20,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Israel,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            610.14,,,,            646.82,            865.33,            868.65,            888.38,            676.95,            542.39,            871.30,            563.19,            436.76,            447.71,,,,,,,,,,,,,,,,,
Cyprus,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            894.36,            687.36,            446.50,            473.52,,            448.46,            603.04,            704.41,            801.90,            849.50,           1139.98,            884.06,            804.63,            646.29,            602.57,            439.93,            377.24,            346.43,            339.66,            324.11,            345.23,            304.26,            364.32,            361.74,            297.87,            264.34,            318.72,            265.83,            255.71,            216.37,
Cyprus,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            251.92,            275.73,,,,,,,,            205.22,            205.55,            347.24,            297.61,            294.84,            246.98,
Cyprus,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            756.06,            638.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Lebanon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             64.57,             66.44,             49.77,             45.52,             46.89,,,,,             31.34,             30.57,,,             48.52,             58.33,,,,             82.92,            111.33,            121.50,            120.65,             91.95,             67.93,
Cyprus,Liberia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            170.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Libya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            456.70,            301.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Marshall Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            221.85,            301.63,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            439.68,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            218.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             42.88,,,,,,,,,,,,,,,,,,,
Cyprus,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             84.00,             76.13,             64.89,            109.51,            244.82,            243.69,            168.10,             97.94,,,,,,
Cyprus,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,             33.99,
Cyprus,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            207.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Syrian Arab Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,             62.94,,,,,,,,,,,,
Cyprus,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             64.51,,             55.27,,             29.77,             76.09,,,,             70.43,,,,,,,,,
Cyprus,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            190.40,            356.07,,            280.87,            276.83,            163.30,            174.38,            114.73,            110.97,            175.57,            206.23,            206.65,            260.26,            319.43,            295.09,            231.56,            182.48,            159.12,            160.19,            154.75,            117.74,            144.45,            164.09,            142.50,            136.08,            192.93,            199.45,            218.89,            185.18,
Cyprus,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            711.68,,            430.52,            599.31,            497.50,            412.78,            529.41,            766.26,            704.81,            721.46,            945.61,            848.82,            628.84,            560.97,            490.51,            371.77,            341.26,            345.01,            407.49,            413.22,            415.91,            422.50,            447.55,            434.59,            343.50,            318.95,            373.02,            339.82,            325.28,            259.91,
Cyprus,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             76.56,             59.12,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,            369.25,            399.19,            389.98,            461.81,            701.24,            670.64,            480.79,            311.56,            235.34,            276.93,            208.22,            181.36,,
Cyprus,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            289.16,,,,,,,,,,,,,,,,,            111.35,            137.16,             71.60,             60.88,,            112.38,            101.69,             87.80,             90.16,            104.03,             82.75,            104.94,             79.98,
Cyprus,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,        1171144.40,        2435239.31,        2352264.09,        2161852.49,        2052554.38,         687113.46,         717237.34,,,,,,,,
Cyprus,World,Animal,Export,Export(US$ Mil),            287.27,            231.56,            195.48,            162.99,            169.48,            153.10,            122.16,            127.50,            101.73,             90.37,            119.22,             88.01,             71.39,             77.60,             65.19,             36.97,             33.79,             28.29,             28.51,             27.13,             28.51,             32.02,             20.63,             20.28,             16.25,             18.20,             13.80,             13.31,             14.62,             12.38,
Cyprus,World,Capital goods,Export,Export(US$ Mil),           1519.19,           1273.45,           1318.01,           1639.70,           1561.24,            481.61,            237.77,            312.69,            275.48,            286.08,            288.30,            262.25,            359.96,            509.01,            291.00,            136.93,            119.42,            135.54,             95.83,             97.29,            101.05,             87.76,            129.54,            112.29,             80.74,             78.32,             83.14,             81.60,             99.32,            100.73,
Cyprus,World,Chemicals,Export,Export(US$ Mil),            445.39,            397.03,            370.13,            368.56,            408.98,            450.98,            451.10,            477.67,            347.95,            258.64,            270.33,            216.32,            174.64,            159.58,            138.12,            102.03,             96.04,             77.65,             68.23,             73.89,             66.29,             67.83,             82.27,             80.54,             67.13,             54.22,             58.03,             49.11,             48.25,             48.74,
Cyprus,World,Consumer goods,Export,Export(US$ Mil),           2821.94,           1535.64,           1189.93,           1241.12,            997.50,            844.28,            738.32,           1019.78,            782.04,            708.27,            952.84,            842.79,            756.82,            757.48,            630.09,            594.46,            551.16,            653.31,            692.27,            674.90,            713.80,            899.72,            957.14,            794.74,            622.22,            604.76,            694.17,            619.77,            593.07,            481.74,
Cyprus,World,Food Products,Export,Export(US$ Mil),            157.07,            151.17,            139.21,            125.26,            149.06,            151.79,            128.65,            140.97,            136.08,            122.09,            123.89,            119.55,             98.05,            107.20,            107.22,            138.53,            151.51,            295.29,            331.01,            378.24,            423.55,            635.60,            645.12,            438.54,            294.49,            221.66,            252.71,            189.11,            148.15,             99.07,
Cyprus,World,Footwear,Export,Export(US$ Mil),             11.51,              8.02,             11.74,             13.80,             12.60,             13.71,             15.86,             13.37,              8.45,              5.22,              5.22,              3.91,              3.74,              2.49,              4.33,              3.96,              6.86,              7.44,             10.75,             14.25,             18.70,             20.32,             17.55,             17.03,             20.57,             24.04,             30.62,             34.97,             34.35,             34.38,
Cyprus,World,Fuels,Export,Export(US$ Mil),           1204.14,            721.20,            475.59,            429.71,            312.26,             91.06,             83.39,            347.94,            215.14,            188.15,            339.95,            230.49,            257.37,            231.58,             83.90,             86.05,             67.84,             88.88,            101.89,             59.77,             48.17,             55.42,             60.58,             45.83,             37.93,             42.44,             52.13,             43.61,             61.36,             45.48,
Cyprus,World,Hides and Skins,Export,Export(US$ Mil),              7.69,              8.07,              6.02,              6.18,              7.57,              9.55,              8.42,              7.85,              6.28,              5.46,              6.45,              5.99,              5.75,              5.19,              5.22,              4.83,              4.43,              4.81,              4.28,              4.73,              6.69,              8.86,              7.31,              6.75,              8.00,             10.25,             12.05,             11.73,             14.98,             15.08,
Cyprus,World,Intermediate goods,Export,Export(US$ Mil),            297.61,            172.54,            184.87,            199.43,            264.33,            296.22,            327.05,            305.61,            222.14,            160.13,            195.15,            133.15,             93.91,             96.13,             83.19,             74.22,             74.16,             89.10,             81.63,             73.92,             89.00,            101.53,             98.64,            100.00,             99.04,             73.74,             97.34,            101.35,             93.55,             81.48,
Cyprus,World,Mach and Elec,Export,Export(US$ Mil),            433.43,            345.20,            265.34,            203.89,            294.16,            230.79,            171.26,            240.04,            205.59,            188.02,            201.60,            199.43,            273.15,            439.59,            218.08,             54.70,             59.04,             73.24,             54.39,             77.76,             68.33,             71.95,            129.98,            135.68,             95.78,            103.78,             98.11,             95.94,            109.47,             99.27,
Cyprus,World,Metals,Export,Export(US$ Mil),            238.17,             92.93,             60.70,             69.84,             92.73,            108.55,            146.73,            155.48,            115.23,             67.48,             97.27,             93.32,             64.63,             44.36,             40.82,             28.07,             26.12,             44.18,             30.86,             27.00,             28.20,             31.32,             25.26,             26.90,             19.32,             15.49,             15.89,             17.94,             17.54,             23.77,
Cyprus,World,Minerals,Export,Export(US$ Mil),             28.37,             29.91,             74.63,             89.36,             82.10,             72.38,             31.15,             20.71,             16.47,             17.80,             17.96,             24.32,             27.58,             18.72,             16.23,             26.55,             21.43,             18.80,             23.11,             21.66,             24.57,             30.24,             23.20,             20.46,             26.64,             14.56,             16.08,             15.37,             20.23,             15.20,
Cyprus,World,Miscellaneous,Export,Export(US$ Mil),            156.14,            153.19,            103.95,             76.73,             93.39,            322.09,            342.05,            113.64,            123.35,            156.09,            194.42,            130.51,             86.91,             90.38,             69.30,             33.70,             34.57,             58.53,             64.57,             44.04,             45.01,             38.69,             41.19,             42.03,             39.11,             41.42,             49.87,             42.31,             37.54,             26.75,
Cyprus,World,Plastic or Rubber,Export,Export(US$ Mil),             29.27,             27.32,             23.05,             18.75,             20.12,             21.48,             20.98,             20.21,             14.61,             11.89,             17.18,             14.20,             11.66,             12.93,             13.23,             11.20,             11.99,              8.24,              8.14,              9.92,             10.13,             11.43,             12.49,             14.15,             10.13,              9.04,              8.75,              7.69,              7.38,              6.74,
Cyprus,World,Raw materials,Export,Export(US$ Mil),            197.43,            191.22,            178.97,            168.29,            225.36,            271.88,            267.75,            316.69,            226.20,            196.10,            276.80,            248.11,            203.96,            170.42,            167.20,            117.52,             92.27,             96.46,             83.76,             91.22,            109.90,            105.64,            144.77,            177.82,            121.55,            110.47,            130.52,            149.08,            163.28,            129.09,
Cyprus,World,Stone and Glass,Export,Export(US$ Mil),             34.80,             67.52,             31.41,             15.01,             71.57,             62.67,             78.74,             56.01,             21.11,             10.55,             33.20,              8.77,              8.51,              6.19,             17.19,             10.83,             12.15,             14.25,              9.43,              7.55,             10.91,             10.56,              9.78,              6.33,             15.39,             10.78,             12.90,              7.12,              3.24,              2.77,
Cyprus,World,Textiles and Clothing,Export,Export(US$ Mil),             13.91,             13.36,             13.51,             20.02,             21.86,             12.45,             21.51,             15.10,             17.44,             18.80,             23.45,             20.39,             20.40,             25.87,             39.99,             46.73,             58.37,             67.30,             75.78,             74.10,             98.77,            103.85,            141.91,            176.07,            165.98,            171.93,            234.01,            240.15,            225.27,            192.32,
Cyprus,World,Transportation,Export,Export(US$ Mil),           1921.92,           1009.38,           1126.96,           1678.59,           1396.32,            265.92,             80.13,             55.18,             48.26,             79.69,             97.53,            167.41,            167.59,            208.75,            225.03,            229.63,            171.41,            126.94,             97.83,             92.00,             80.21,             38.09,             25.90,             15.19,             23.73,             21.03,             24.63,             20.98,             30.68,             34.52,
Cyprus,World,Vegetable,Export,Export(US$ Mil),             86.71,             93.64,             90.26,             79.02,            112.40,            137.51,            105.51,            138.64,            107.25,            111.31,            144.77,            143.48,            119.99,             95.80,            105.85,             89.62,             65.44,             66.31,             56.17,             69.55,             85.01,             73.88,            127.44,            163.29,            105.22,             96.39,            110.74,            144.20,            157.27,            120.38,
Cyprus,World,Wood,Export,Export(US$ Mil),              9.57,             10.86,              9.23,              9.32,             25.65,             30.36,             18.36,             24.45,             21.52,             19.38,             20.88,             20.31,             23.50,             20.16,             21.79,             19.75,             16.04,             17.00,             15.61,             15.41,             18.82,             20.04,             19.99,             21.46,             15.55,             12.07,             14.84,             18.24,             18.89,             16.20,
Cyprus,World,All Products,Export,Exports (in US$ Mil),           5065.37,           3360.38,           2997.21,           3367.02,           3270.26,           2134.41,           1826.02,           1954.77,           1506.46,           1350.95,           1713.32,           1486.41,           1414.87,           1546.37,           1171.48,            923.14,            837.01,            997.16,            980.55,            997.01,           1061.85,           1250.11,           1390.61,           1230.54,            961.22,            867.30,           1005.17,            951.80,            949.22,            793.04,
Cyprus,World,Capital goods,Import,Import(US$ Mil),           2822.55,           2883.81,           2204.24,           2141.68,           2034.42,            715.69,            870.36,           1339.11,           1634.51,           1522.26,           1851.91,           1447.74,           1299.97,           1351.23,           1194.13,            899.97,            872.37,            804.81,            806.97,            728.33,            789.94,            634.69,            731.13,            760.48,            638.81,            555.58,            812.56,            534.73,            578.45,            625.06,
Cyprus,World,Consumer goods,Import,Import(US$ Mil),           6292.70,           5010.90,           4560.22,           3910.50,           4803.31,           4479.45,           5222.04,           5818.42,           5337.02,           5028.44,           6797.47,           5578.34,           4401.69,           3813.89,           3378.47,           2519.43,           2275.44,           2211.21,           2096.81,           1871.27,           1831.11,           1961.39,           2021.89,           1689.91,           1311.64,           1149.67,           1442.33,           1129.89,           1033.47,            801.66,
Cyprus,World,Intermediate goods,Import,Import(US$ Mil),           1149.56,            951.17,            707.71,            727.70,            799.81,            833.64,            868.23,           1109.75,           1149.99,           1011.15,           1646.93,           1307.84,            969.72,            861.77,            853.78,            702.24,            588.13,            557.73,            540.67,            563.76,            678.64,            624.68,            708.78,            802.04,            674.09,            614.92,            785.07,            685.73,            699.18,            617.49,
Cyprus,World,Raw materials,Import,Import(US$ Mil),            432.95,            397.61,            356.74,            342.63,            414.66,            385.91,            384.57,            430.97,            367.83,            358.94,            513.01,            396.24,            282.16,            254.02,            303.68,            344.66,            347.30,            350.91,            401.80,            301.20,            266.35,            334.62,            315.74,            275.24,            253.46,            215.76,            260.44,            269.89,            252.43,            236.07,
Cyprus,World,All Products,Import,Imports (in US$ Mil),          10812.57,           9308.16,           7867.37,           7132.83,           8056.40,           6418.22,           7376.93,           8788.56,           8644.72,           7933.40,          10849.02,           8748.91,           7045.70,           6382.11,           5730.42,           4466.43,           4083.30,           3924.68,           3846.32,           3617.95,           3686.28,           3698.06,           3981.87,           3693.77,           3014.05,           2535.93,           3300.41,           2620.28,           2563.59,           2280.30,
Cyprus,...,...,Development,"GNI per capita, Atlas method (current US$)",          26300.00,          24140.00,          24660.00,  26380.00,  26670.00,  27220.00,  28940.00,  31480.00,  31300.00,  31260.00,  31840.00,  27340.00,  25600.00,  23990.00,  20260.00,  16710.00,  14510.00,  14170.00,  14180.00,  14340.00,  15490.00,  14280.00,  13880.00,  12820.00,  11900.00,  11190.00,  11230.00,   9670.00,   9510.00,   8770.00,   8090.00
