Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),       25942413.44,       23932507.35,       22462886.80,       21761631.43,       21881282.74,       21245205.26,       21009852.21,       19630901.89,       16933217.30,       14524812.59,       14099693.48,       12208484.75,       10915572.42,       10292453.25,        9646090.56,        8601332.74,        7823647.11,        7701455.37,        8280586.88,        7655470.45,        6856546.44,        7647108.47,        7992138.51,        8295874.72,        7300990.80,        6528815.51,        5837511.59,        5342876.89,        4732115.27,        4531254.28,        4351581.60
,...,...,Export,No. Of Export partners,            235.00,            235.00,            235.00,            236.00,            236.00,            235.00,            237.00,            236.00,            236.00,            234.00,            234.00,            235.00,            233.00,            234.00,            234.00,            233.00,            233.00,            233.00,            234.00,            223.00,            222.00,            221.00,            222.00,            225.00,            225.00,            226.00,            221.00,            201.00,            204.00,            202.00,            196.00
,...,...,Export,No. Of Export products,           4594.00,           4620.00,           4723.00,           4727.00,           4740.00,           4734.00,           4753.00,           4691.00,           4686.00,           4832.00,           4864.00,           4876.00,           4902.00,           4904.00,           4918.00,           4927.00,           4922.00,           4944.00,           4956.00,           4979.00,           5019.00,           5014.00,           5025.00,           5035.00,           5031.00,           5030.00,           5031.00,           5021.00,           5018.00,           5013.00,           4960.00
,...,...,Import,No. Of Import partners,            237.00,            236.00,            236.00,            236.00,            236.00,            234.00,            236.00,            235.00,            236.00,            234.00,            233.00,            233.00,            233.00,            231.00,            234.00,            233.00,            234.00,            235.00,            235.00,            219.00,            218.00,            220.00,            221.00,            222.00,            224.00,            222.00,            219.00,            196.00,            201.00,            197.00,            189.00
,...,...,Import,No. Of Import products,           4610.00,           4764.00,           4839.00,           4845.00,           4801.00,           4837.00,           4851.00,           4840.00,           4834.00,           4889.00,           4907.00,           4911.00,           4940.00,           4927.00,           4934.00,           4951.00,           4953.00,           4981.00,           4990.00,           5021.00,           5030.00,           5033.00,           5033.00,           5035.00,           5035.00,           5037.00,           5037.00,           5035.00,           5033.00,           5034.00,           5012.00
,...,...,Tariff,No. Of Tariff Agreement,            963.00,           1143.00,           1205.00,           1165.00,           1126.00,           1101.00,           1204.00,           1128.00,            986.00,            974.00,           1112.00,           1007.00,            996.00,           1070.00,            939.00,           1015.00,            731.00,            809.00,            673.00,            674.00,            673.00,            702.00,            688.00,            235.00,            232.00,            609.00,            218.00,            404.00,            218.00,            219.00,            400.00
,...,...,Development,Trade Balance (current US$ Mil),         412152.41,         601470.70,         606498.06,         640839.89,         370341.93,         328560.61,         330312.73,         381152.17,         515081.24,         470194.93,         481571.19,         573100.93,         418864.43,         309641.68,         254023.38,         217119.81,         182702.94,         135299.42,         171925.69,         190813.47,         208667.25,          91498.53,          18949.92,          55114.23,         102713.44,          96509.35,          97315.22,          68277.28,          36020.15,          56178.53,          86407.76
,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,          22338.82,          20912.59,          18805.59,          12429.03
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         881393.02,         839946.24,         738176.37,         751011.01,         821471.18,         849459.23,         787579.60,         766105.16,         647247.16,         478558.39,         512472.21,         461851.28,         396235.82,         338977.92,         289591.05,         226147.54,         170060.24,         141126.49,         139339.25,         108692.42,         103574.74,         114485.31,         107593.69,          99462.64,          82871.02,          72543.07,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         995230.01,         963157.84,         775367.68,         930771.84,         957544.76,         941085.67,         898246.41,         823988.77,         701004.69,         555462.07,         643422.25,         574697.56,         495802.80,         419861.90,         345527.12,         269375.55,         222047.71,         194903.69,         192560.97,         148548.97,         134020.43,         148150.61,         137687.76,         126272.54,         104160.98,          84592.49,          28225.41,          24544.69,          19036.97,,
