Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),       23068402.80,       21551799.12,       20383995.37,       20446148.08,       23733362.13,       23416794.34,       22406230.00,       23245679.38,       20960563.12,       20464105.28,       23265068.46,       21192517.90,       18138218.59,       16749036.18,       15729815.46,       13493642.85,       11083621.10,       10138741.76,       10028603.05,       10655495.55,       10777353.46,       10507003.94,       11075886.54,       10854188.77,        9413209.08,        9012771.42,        9822856.83,        9162170.91,        8902228.41,        7276802.87,        7180774.54
,...,...,Export,No. Of Export partners,            238.00,            238.00,            238.00,            238.00,            238.00,            239.00,            237.00,            237.00,            234.00,            235.00,            234.00,            235.00,            236.00,            233.00,            234.00,            235.00,            236.00,            235.00,            233.00,            222.00,            218.00,            220.00,            220.00,            225.00,            226.00,            226.00,            217.00,            193.00,            194.00,            196.00,            195.00
,...,...,Export,No. Of Export products,           4601.00,           4603.00,           4582.00,           4582.00,           4594.00,           4614.00,           4618.00,           4611.00,           4753.00,           4756.00,           4777.00,           4836.00,           4901.00,           4902.00,           4917.00,           4913.00,           4924.00,           4945.00,           4990.00,           5015.00,           5012.00,           5017.00,           5027.00,           5037.00,           5037.00,           5036.00,           5032.00,           5031.00,           5030.00,           5034.00,           5026.00
,...,...,Import,No. Of Import partners,            238.00,            238.00,            238.00,            238.00,            238.00,            239.00,            237.00,            236.00,            235.00,            235.00,            235.00,            235.00,            236.00,            234.00,            234.00,            235.00,            235.00,            236.00,            234.00,            222.00,            221.00,            220.00,            222.00,            225.00,            224.00,            224.00,            217.00,            191.00,            196.00,            197.00,            194.00
,...,...,Import,No. Of Import products,           4611.00,           4612.00,           4582.00,           4582.00,           4620.00,           4629.00,           4629.00,           4611.00,           4828.00,           4823.00,           4857.00,           4916.00,           4921.00,           4924.00,           4930.00,           4930.00,           4932.00,           4947.00,           5007.00,           5024.00,           5024.00,           5029.00,           5034.00,           5037.00,           5037.00,           5037.00,           5035.00,           5033.00,           5034.00,           5033.00,           5032.00
,...,...,Tariff,No. Of Tariff Agreement,           1939.00,           2152.00,           2353.00,           2464.00,           1754.00,           2286.00,           1783.00,           2212.00,           1976.00,           1662.00,           1898.00,           1269.00,           1410.00,            918.00,            741.00,           1051.00,           1069.00,            651.00,            731.00,           1246.00,            751.00,            600.00,           1053.00,            414.00,            193.00,            688.00,,            247.00,            235.00,,            418.00
,...,...,Development,Trade Balance (current US$ Mil),         873585.88,         724873.76,         671691.31,         730454.17,         784179.04,         709775.22,         640696.64,         484469.57,         380441.92,         361943.37,         323559.83,         291124.48,         282478.62,         283726.05,         298581.82,         229085.07,         220017.16,         154750.05,         114119.12,         130650.23,         152552.21,         179654.43,         173314.28,         158601.36,         126288.17,         111981.93,          61786.10,         -14957.11,         -50119.77,         -59618.04,         -35956.05
,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,          61008.73,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         635692.06,         586232.51,         534580.11,         525086.42,         573474.98,         542256.22,         530930.12,         563756.74,         506119.25,         393900.21,         484017.64,         406958.79,         306763.27,         245040.22,,,,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         511228.75,         473956.89,         436391.13,         432262.48,         516596.51,         526061.59,         510631.43,         552310.64,         473631.63,         445332.05,         554637.16,         493738.26,         441829.69,         393957.09,         365573.69,         307988.68,         254517.56,         243616.92,         245942.42,         231404.22,         194242.03,         183684.76,         189166.88,         183444.53,         150891.32,         106718.95,         102873.52,          77519.90,          77820.25,          64969.31,          48722.69
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         388230.83,         360525.71,         332654.15,         336147.62,         400260.17,         395074.13,         384412.92,         408601.64,         359884.82,         336116.69,         436378.92,         407334.28,         357498.64,         318194.40,         311281.11,         266254.47,         220639.32,         210083.18,         211922.47,         210563.84,         187783.58,         177181.30,         175710.47,         169448.22,         140063.76,          99748.06,          97111.96,          76709.43,          70155.98,          55024.10,          40179.45
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         927022.17,         840919.87,         766031.35,         748517.97,         890351.11,         869705.73,         834254.02,         864855.51,         736804.22,         659150.01,         851971.13,         747734.31,         658386.02,         574287.30,         537386.84,         451363.69,         375379.37,         365068.65,         359912.80,         340029.78,         313904.98,         301455.67,         306929.78,         301242.23,         239305.33,         119770.38,         101279.82,          42404.23,,,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         970791.53,         897994.70,         823312.76,         804020.80,         925621.89,         914366.94,         884249.81,         964697.28,         827837.90,         743191.54,        1005202.72,         922990.55,         762927.59,         671203.31,         628813.65,         514513.00,         417993.67,         382753.09,         375102.39,         365675.73,         336944.16,         315150.86,         319196.87,         312295.91,         247650.49,         125409.72,         112463.68,          55867.24,          61934.29,          50261.66,          28043.01
,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,         336752.39,         307215.55,         425581.72,         363465.62,         319698.58,         278901.93,         259403.00,         217414.12,         178271.61,         164793.53,         162845.22,         149972.03,         138808.21,         133654.40,         129450.94,         125931.30,         101545.68,          64177.62,          72961.73,          53621.47,          54947.16,          46557.46,          35499.34
,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,         333233.46,,,         232091.49,         195723.00,         160794.09,,,         151944.64,         151127.52,         144521.69,         148815.90,         137659.98,         111652.89,          70375.99,          74362.85,          59422.81,          58725.25,          45124.33,          33082.12
,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         386826.60,         335484.61,         299608.34,         309425.20,         393506.57,         399284.92,         399383.38,         393881.14,,,,,,,,,,,,,,,,,,,,          42542.65,          42561.62,          35937.11,          31064.29
