Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        5800575.82,        5977171.23,        5393582.22,        5521478.32,        6417676.17,        6295116.34,        6143216.40,        6080409.92,        5347667.37,        4313433.12,        4589745.94,        3949514.98,        3352768.16,        2859768.99,        2365337.86,        2052388.38,        2008886.36,        2238818.34,        2288265.36,        2074490.03,        2299256.31,        2278595.99,        2078449.84,        1920756.95,        1801256.35,        1576077.16,        1370553.24,        1449999.49,        1178854.55,        1006884.03,         922366.62
,...,...,Export,No. Of Export partners,            233.00,            232.00,            233.00,            229.00,            233.00,            234.00,            233.00,            233.00,            231.00,            231.00,            232.00,            233.00,            229.00,            231.00,            227.00,            227.00,            229.00,            229.00,            225.00,            214.00,            212.00,            216.00,            216.00,            213.00,            211.00,            197.00,            187.00,            192.00,            187.00,            175.00,
,...,...,Export,No. Of Export products,           4602.00,           4635.00,           4600.00,           4617.00,           4607.00,           4617.00,           4640.00,           4670.00,           4665.00,           4676.00,           4719.00,           4825.00,           4841.00,           4869.00,           4857.00,           4862.00,           4877.00,           4896.00,           4872.00,           4914.00,           4920.00,           4941.00,           4962.00,           4940.00,           4939.00,           4889.00,           4843.00,           4796.00,           4682.00,           4005.00,
,...,...,Import,No. Of Import partners,            237.00,            237.00,            237.00,            238.00,            236.00,            238.00,            237.00,            237.00,            234.00,            235.00,            234.00,            234.00,            233.00,            232.00,            233.00,            231.00,            232.00,            232.00,            227.00,            218.00,            212.00,            217.00,            217.00,            218.00,            213.00,            212.00,            194.00,            188.00,            175.00,            120.00,
,...,...,Import,No. Of Import products,           4765.00,           4785.00,           4775.00,           4768.00,           4763.00,           4814.00,           4864.00,           4870.00,           4879.00,           4884.00,           4904.00,           4922.00,           4928.00,           4951.00,           4945.00,           4950.00,           4950.00,           4958.00,           4954.00,           4981.00,           4981.00,           5022.00,           5016.00,           5019.00,           5012.00,           5012.00,           5000.00,           4991.00,           4974.00,           4442.00,
,...,...,Tariff,No. Of Tariff Agreement,           1575.00,           1273.00,           1163.00,           1302.00,           1036.00,            933.00,            988.00,            946.00,            844.00,            830.00,            869.00,            558.00,            550.00,            245.00,            279.00,             29.00,             27.00,             17.00,             27.00,             40.00,             15.00,             12.00,              8.00,             97.00,             49.00,            173.00,             11.00,             50.00,             11.00,             11.00,
,...,...,Development,Trade Balance (current US$ Mil),        -115440.52,         -79708.17,         -81794.88,        -139467.91,        -173722.04,        -107528.31,         -43900.93,          12600.38,          32754.00,           5531.05,          -4305.55,          45683.38,          80548.03,          72753.89,          59153.87,          44123.25,          22196.61,         -16293.78,         -14270.90,         -20225.87,         -56834.55,         -41743.66,         -15258.62,         -14221.04,         -31668.94,         -25375.90,         -12831.75,           5971.18,          22318.41,          25136.46,          19455.99
,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          23665.16,,,,,,          29570.19,          23572.50,,,          18434.39,,,,,,           6776.31,           8223.71,           7081.95,           9027.81,           9042.40,           7175.07,,,           4836.19,           4049.34,,,,
,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,          12487.95,          12556.24,          10609.26,          13361.11,          13495.49,          11416.24,           9604.22,           6980.59,           4220.40,           3478.79,           2997.53,           2503.79,           1375.02,
,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          28188.00,          25131.47,          23140.46,          25939.28,          35346.76,          38927.03,          38134.94,          37588.80,          31311.72,          23197.60,          30539.40,          22214.59,          18675.09,          13884.30,          11311.79,           8220.80,           8252.47,          11135.23,          12491.79,           8832.28,          11822.55,          12835.85,          11190.70,          10596.51,           6398.44,,,,,,
