Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        3610538.55,        3273129.05,        3154095.68,        3145915.60,        3569359.36,        3553854.09,        3575832.03,        3282457.06,        2768612.62,        2368575.97,        2648335.35,        2124114.26,        1791405.45,        1530490.88,        1271441.92,        1089158.31,         966760.70,         970607.70,         966989.15,         866776.89,         809311.42,         832628.25,         802343.41,         708669.03,         633700.38,         607858.89,         603606.49,         554455.91,         550504.38,         420493.51,         408247.22
,...,...,Export,No. Of Export partners,            226.00,            227.00,            223.00,            225.00,            225.00,            226.00,            227.00,            225.00,            223.00,            224.00,            219.00,            225.00,            213.00,            215.00,            216.00,            214.00,            207.00,            203.00,            209.00,            195.00,            198.00,            199.00,            197.00,            193.00,            185.00,            181.00,            156.00,            135.00,             70.00,             71.00,
,...,...,Export,No. Of Export products,           4549.00,           4551.00,           4504.00,           4498.00,           4610.00,           4617.00,           4617.00,           4533.00,           4580.00,           4571.00,           4661.00,           4810.00,           4677.00,           4774.00,           4593.00,           4625.00,           4543.00,           4476.00,           4513.00,           4606.00,           4619.00,           4369.00,           4465.00,           4481.00,           4317.00,           4100.00,           3895.00,           3944.00,            535.00,            554.00,
,...,...,Import,No. Of Import partners,            235.00,            235.00,            232.00,            233.00,            231.00,            235.00,            230.00,            229.00,            228.00,            228.00,            224.00,            226.00,            218.00,            224.00,            222.00,            214.00,            219.00,            220.00,            219.00,            210.00,            207.00,            211.00,            194.00,            191.00,            195.00,            184.00,            177.00,            155.00,             87.00,             91.00,
,...,...,Import,No. Of Import products,           4604.00,           4608.00,           4576.00,           4576.00,           4827.00,           4821.00,           4830.00,           4828.00,           4838.00,           4842.00,           4864.00,           4954.00,           4941.00,           4962.00,           4955.00,           4938.00,           4962.00,           4986.00,           4996.00,           5007.00,           5012.00,           4991.00,           4999.00,           5010.00,           4987.00,           4967.00,           4949.00,           4743.00,           1581.00,           1635.00,
,...,...,Tariff,No. Of Tariff Agreement,            407.00,            640.00,            607.00,            705.00,            617.00,            387.00,            437.00,            166.00,            137.00,            443.00,            417.00,            402.00,            405.00,            514.00,             26.00,,              5.00,,,             12.00,,,,,,             12.00,,,,,
,...,...,Development,Trade Balance (current US$ Mil),         237194.37,          74387.94,         -14123.38,          -5082.66,         298458.66,         445582.31,         527434.93,         499742.11,         268475.78,          86555.67,         354812.15,         258844.22,         280381.87,         217562.70,         115245.06,          74942.86,          41228.97,          40992.72,          72926.76,          13617.56,         -35471.33,          14568.65,          12254.56,          -2618.00,          -1370.50,         -25543.73,,,,,
,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          42279.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          32135.79,          34267.79,          27265.11,,          59957.97,          36497.01,,          40259.27,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         105580.96,         139879.61,          97907.43,          95954.55,         113162.95,          86992.75,          83980.96,          69861.40,          64723.47,          47985.18,          59994.88,          40756.90,          30406.69,          22962.21,          19177.17,,,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,           9163.93,           7044.73,           6831.71,           7898.94,           7771.99,           6635.62,           4144.16,           3272.86,           1004.20,,,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,          29061.27,,,          24144.56,          22569.77,          24074.60,          19178.78,          15782.22,          15529.76,          14494.65,          14113.01,          13006.84,           9520.58,           9318.87,          10339.94,           7824.87,           6988.54,           5930.57,           2827.81,,,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,           3431.08,,,,,,,,,,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          37330.26,          51975.18,          49133.10,          49663.04,          53560.01,          48935.92,          44085.76,          41668.81,          43413.09,          33868.50,          41048.98,          32945.45,          25570.73,          25876.11,          23854.18,          19568.80,          18129.10,          16000.16,          13930.32,          12812.57,          11322.68,           9230.28,           8546.78,           9150.23,           5544.26,,           4700.07,           3447.68,            130.05,            124.02,
,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          30488.21,          35209.90,          31278.22,          29839.47,          43666.94,          45242.58,          50982.30,          56734.48,          44126.37,          26446.83,,,,,,,,,,,,,,,,,,,,,
,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          40489.35,,          37153.45,          36437.22,,          44390.13,          41626.39,          44431.78,          37918.35,,,,,,,,,,,,,,,,,,,,,,
,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,             17.42,,
,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,          35147.03,          23187.47,          44305.64,          32302.65,          24554.64,          21417.55,          19035.90,          19214.98,          18292.37,          17618.91,          10543.10,,           4951.67,           7388.13,,           6424.89,           4969.89,,,,,,
,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          50357.37,,,,,,,,,,,,,,          14906.13,          13794.47,          13802.12,          11264.41,          10763.65,          10339.21,           8433.42,           7971.95,           7983.36,           5047.35,           4299.02,,,,,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,          44527.38,          46396.45,          41044.27,,,,          65634.12,          62534.28,          69610.41,          60137.10,          34917.64,          27982.69,          21749.19,          14612.45,          11317.55,          16266.07,,           6050.11,           8679.59,           9574.42,           7545.45,,,,,           1361.26,
