Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Myanmar,...,...,Development,GDP (current US$ Mil),          71214.80,          66719.08,          63256.18,          59687.41,          65446.20,          60269.73,          59937.80,          59977.33,          49540.81,          36906.18,          31862.55,          20182.48,          14502.55,          11986.97,          10567.35,          10467.11,           6777.63,           6477.79,           8905.07,,,,,,,,,,,,
Myanmar,...,...,Export,No. Of Export partners,            138.00,            136.00,            167.00,            128.00,            119.00,             99.00,             94.00,             79.00,             78.00,,,,,,,,,,,,,,,,,,             52.00,,,,
Myanmar,...,...,Export,No. Of Export products,           1708.00,           1465.00,           1045.00,            727.00,            702.00,            738.00,            583.00,            432.00,            198.00,,,,,,,,,,,,,,,,,,            144.00,,,,
Myanmar,...,...,Import,No. Of Import partners,            183.00,            188.00,            166.00,            138.00,            138.00,            120.00,            126.00,            123.00,            121.00,,,,,,,,,             43.00,,,,,,,,,            103.00,,,,
Myanmar,...,...,Import,No. Of Import products,           3876.00,           3850.00,           3607.00,           3516.00,           3519.00,           3493.00,           3272.00,           3137.00,           2718.00,,,,,,,,,           3296.00,,,,,,,,,           2614.00,,,,
Myanmar,...,...,Tariff,No. Of Tariff Agreement,,,,              7.00,,              1.00,              1.00,              7.00,              5.00,,,,,,,,,              2.00,,,,,,,,,,,,,
Myanmar,...,...,Development,Trade Balance (current US$ Mil),,          -5353.66,          -4402.82,          -3439.00,          -1360.06,            415.52,            366.88,             -0.86,           2228.70,             14.03,             15.93,             11.84,              9.61,              9.95,              4.82,              5.15,              4.09,              1.55,             -7.84,,,,,,,,,,,,
Myanmar,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5559.60,           5398.07,           4766.68,           4511.61,           4016.64,           3053.06,           1382.90,           1515.28,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           6222.92,           6115.76,           5403.10,           6434.88,           5024.89,           3662.52,           2496.60,           2303.66,            964.03,,,,,,,,,            311.12,,,,,,,,,,,,,
Myanmar,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            567.35,,,,,,,            552.76,           1591.88,,,,,,,,,,,,,,,,,,             56.10,,,,
Myanmar,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            574.14,            708.12,           1038.11,            958.23,            835.58,            811.53,           2763.50,            929.21,            958.17,,,,,,,,,,,,,,,,,,            100.63,,,,
Myanmar,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            990.20,,           1094.70,,,,            280.00,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            936.19,,,            587.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1387.65,            903.03,            663.43,            429.55,            532.03,            779.98,            373.64,,,,,,,,,,,,,,,,,,,,             33.18,,,,
Myanmar,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1055.10,           1254.70,           1534.61,           1647.90,           1589.39,            885.65,            400.52,,,,,,,,,,            389.76,,,,,,,,,            246.93,,,,
Myanmar,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           1405.31,,            541.21,            252.56,,,,,,,,,            361.28,,,,,,,,,             28.22,,,,
Myanmar,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            427.52,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            999.11,,,            966.78,,,,,,,,,,,,,            347.45,,,,,,,,,             53.36,,,,
Myanmar,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,             28.43,,,,
Myanmar,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            735.22,            890.76,            566.71,            549.74,            657.37,,            396.85,            457.81,,,,,,,,,,,,,,,,,,            105.94,,,,
Myanmar,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3691.91,           2931.13,           2268.28,           3659.90,           3755.15,           2276.37,           2076.38,           2529.65,           1122.19,,,,,,,,,            662.74,,,,,,,,,             92.40,,,,
Myanmar,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3056.89,           2698.66,           2241.50,           3346.49,           3746.02,           4598.12,           2394.64,           3216.93,           3179.64,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2595.08,           2166.68,           1985.91,           1958.06,           1586.85,           1031.31,            769.48,            760.82,            467.80,,,,,,,,,,,,,,,,,,,,,,
Myanmar,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,             35.42,,,,
Myanmar,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,           1001.54,,,,,,,,,,,,,,,,,,,,,,
Myanmar,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            871.38,,,,,,,,,,,,,,,,,,,,,,
Myanmar,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,        8988851.40,,         618082.26,         356686.58,         331211.06,         331211.06,,,,,,,,,          56815.73,,,,,,,,,,,,,
Myanmar,World,Animal,Export,Export(US$ Mil),           1057.67,            629.26,            546.68,            456.73,            432.81,            665.85,            717.69,            518.46,            321.72,,,,,,,,,,,,,,,,,,             34.13,,,,
Myanmar,World,Capital goods,Export,Export(US$ Mil),            667.92,            738.33,            489.77,             18.26,             20.60,             33.20,             21.66,              6.98,              4.30,,,,,,,,,,,,,,,,,,              4.23,,,,
Myanmar,World,Chemicals,Export,Export(US$ Mil),             12.85,             25.81,              8.32,              2.45,              2.14,              7.78,              1.73,              4.39,              0.96,,,,,,,,,,,,,,,,,,              0.19,,,,
