Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Montenegro,...,...,Development,GDP (current US$ Mil),           5504.17,           4844.59,           4374.13,           4052.91,           4587.93,           4464.26,           4087.73,           4538.20,           4139.19,           4159.33,           4545.67,           3680.71,           2721.90,           2257.17,           2073.23,           1707.71,           1284.69,           1159.87,            984.30,,,,,,,,,,,,
Montenegro,...,...,Export,No. Of Export partners,             93.00,             80.00,             79.00,             77.00,             80.00,             82.00,             72.00,             67.00,             61.00,             58.00,             60.00,             64.00,             59.00,,,,,,,,,,,,,,,,,,
Montenegro,...,...,Export,No. Of Export products,           1723.00,           1626.00,           1601.00,           1621.00,           1690.00,           1656.00,           1694.00,           1579.00,           1546.00,           1590.00,           1476.00,           1441.00,           1354.00,,,,,,,,,,,,,,,,,,
Montenegro,...,...,Import,No. Of Import partners,            182.00,            179.00,            187.00,            183.00,            172.00,            183.00,            169.00,            170.00,            163.00,            166.00,            169.00,            159.00,            153.00,,,,,,,,,,,,,,,,,,
Montenegro,...,...,Import,No. Of Import products,           3691.00,           3730.00,           3725.00,           3644.00,           3655.00,           3615.00,           3632.00,           3640.00,           3646.00,           3555.00,           3574.00,           3750.00,           3660.00,,,,,,,,,,,,,,,,,,
Montenegro,...,...,Tariff,No. Of Tariff Agreement,             15.00,             15.00,             15.00,             14.00,             14.00,             15.00,             15.00,             11.00,             11.00,             11.00,             10.00,              9.00,,,,,,,,,,,,,,,,,,,
Montenegro,...,...,Development,Trade Balance (current US$ Mil),          -1313.26,          -1135.79,           -982.94,           -747.88,           -910.25,           -896.70,           -998.27,           -996.64,          -1063.42,          -1279.55,          -2422.88,          -1573.14,          -1003.61,           -395.61,           -333.08,           -279.65,           -314.97,           -273.29,           -140.71,,,,,,,,,,,,
Montenegro,Belarus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             43.71,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             36.55,             53.46,             29.47,             32.71,             42.14,             24.40,             35.22,,             31.87,             24.93,             29.40,,,,,,,,,,,,,,,,,,,,
Montenegro,Bosnia and Herzegovina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            172.21,            123.75,            133.60,            168.07,            167.54,            158.15,            193.67,            162.88,            127.42,,,,,,,,,,,,,,,,,,,,,
Montenegro,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             20.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            302.22,            250.93,            205.29,            211.07,            176.07,            189.71,            167.63,,,,            182.65,            138.95,,,,,,,,,,,,,,,,,,,
Montenegro,Croatia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             43.79,             79.01,            107.33,             63.77,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Croatia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             80.85,,,,,,,,,,,,,,,,,,
Montenegro,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            276.26,            222.24,            240.83,            129.62,,,            147.94,            145.65,            154.14,            155.31,            331.50,            297.93,            211.48,,,,,,,,,,,,,,,,,,
Montenegro,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             54.59,             74.54,             66.87,             78.86,             83.26,             63.68,,,,,,,,,,,,,,,,,,
Montenegro,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            193.69,,,,            191.62,            198.87,            204.30,            201.18,            152.07,            139.21,            269.05,,             83.70,,,,,,,,,,,,,,,,,,
Montenegro,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             35.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             54.58,             35.90,             38.65,,,,,            106.80,             38.28,,,             87.23,             40.16,,,,,,,,,,,,,,,,,,
Montenegro,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             44.58,             46.07,,,             43.17,             64.54,             46.09,            191.75,            199.61,            226.29,,,,,,,,,,,,,,,,,,
Montenegro,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            223.73,            191.20,            169.66,            131.06,            153.93,            156.15,,            149.79,            130.60,            148.51,            290.74,            286.04,            178.07,,,,,,,,,,,,,,,,,,
Montenegro,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            110.09,             74.77,             90.77,             78.16,            105.82,            177.10,            107.09,            110.93,            122.96,            130.89,            172.07,            140.65,            138.61,,,,,,,,,,,,,,,,,,
Montenegro,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            579.45,            561.78,            506.89,            577.09,            637.60,            671.68,            683.90,            723.75,            571.77,            625.50,            901.60,            693.85,            473.62,,,,,,,,,,,,,,,,,,
Montenegro,Slovenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             33.31,,,,,             47.78,             37.11,,,             33.96,             55.35,             39.50,             24.35,,,,,,,,,,,,,,,,,,
Montenegro,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            135.89,,,,,,,,,,,,,,,,,,,
Montenegro,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             23.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             40.18,             39.46,             31.47,             33.42,,             26.17,             30.23,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        1948089.67,        1660863.28,        1612911.58,        1355350.40,        1624719.95,        1603511.25,        1371282.24,        1317793.12,        1029695.69,         921523.14,        1836489.57,         736641.89,,,,,,,,,,,,,,,,,,,
Montenegro,World,Animal,Export,Export(US$ Mil),              9.62,             10.12,              9.29,              8.44,             55.55,              8.96,              5.84,              4.65,              4.86,              4.45,              4.67,              2.69,              2.74,,,,,,,,,,,,,,,,,,
Montenegro,World,Capital goods,Export,Export(US$ Mil),             33.12,             42.77,             31.10,             26.72,             28.87,             31.71,             30.04,             31.11,             31.37,             37.21,             33.21,             18.99,             28.75,,,,,,,,,,,,,,,,,,
Montenegro,World,Chemicals,Export,Export(US$ Mil),             35.85,             21.19,             18.62,             13.78,             16.10,             11.54,             14.47,             16.05,             16.09,             16.21,             15.40,             13.24,             13.00,,,,,,,,,,,,,,,,,,
Montenegro,World,Consumer goods,Export,Export(US$ Mil),            125.63,             98.60,             89.13,             91.06,             95.69,             95.33,             95.35,            111.86,             86.89,             80.82,             92.07,             80.59,             62.36,,,,,,,,,,,,,,,,,,
Montenegro,World,Food Products,Export,Export(US$ Mil),             33.84,             36.39,             36.47,             40.75,             46.17,             46.43,             48.94,             52.02,             43.40,             40.87,             43.98,             40.80,             35.73,,,,,,,,,,,,,,,,,,
Montenegro,World,Footwear,Export,Export(US$ Mil),              0.68,              0.47,              0.65,              0.56,              1.43,              1.17,              0.89,              0.64,              0.49,              0.73,              0.90,              0.46,              0.46,,,,,,,,,,,,,,,,,,
Montenegro,World,Fuels,Export,Export(US$ Mil),             96.96,             52.10,             57.15,             52.30,             64.07,            143.41,             64.83,             87.56,             44.12,             11.73,             18.52,             10.88,              4.61,,,,,,,,,,,,,,,,,,
Montenegro,World,Hides and Skins,Export,Export(US$ Mil),              3.90,              4.55,              3.72,              4.14,              6.85,              8.34,              9.44,              6.99,              5.75,              3.12,              3.51,              4.74,              4.81,,,,,,,,,,,,,,,,,,
Montenegro,World,Intermediate goods,Export,Export(US$ Mil),            225.13,            180.23,            166.44,            176.29,            196.89,            288.28,            272.12,            399.13,            259.98,            236.82,            440.31,            480.71,            426.94,,,,,,,,,,,,,,,,,,
Montenegro,World,Mach and Elec,Export,Export(US$ Mil),             23.25,             21.38,             23.77,             22.83,             23.90,             24.37,             24.53,             25.45,             22.20,             31.75,             21.30,             15.48,             17.29,,,,,,,,,,,,,,,,,,
Montenegro,World,Metals,Export,Export(US$ Mil),            140.32,            126.93,            100.61,            114.65,            132.74,            158.02,            222.71,            339.28,            227.95,            221.35,            432.88,            470.75,            414.00,,,,,,,,,,,,,,,,,,
Montenegro,World,Minerals,Export,Export(US$ Mil),             36.47,             59.82,             32.97,             21.77,             16.89,             14.48,             10.97,             14.46,              6.87,              3.34,              8.78,              7.36,              7.23,,,,,,,,,,,,,,,,,,
Montenegro,World,Miscellaneous,Export,Export(US$ Mil),              6.51,              4.90,              4.38,              7.64,              5.65,              3.43,              3.15,             16.99,              6.25,              5.52,             12.59,             12.49,              5.14,,,,,,,,,,,,,,,,,,
Montenegro,World,Plastic or Rubber,Export,Export(US$ Mil),              3.34,              3.53,              2.71,              1.83,              2.07,              2.15,              1.81,              1.80,              1.89,              0.89,              1.04,              0.85,              0.81,,,,,,,,,,,,,,,,,,
