Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Netherlands,...,...,Development,GDP (current US$ Mil),         913658.47,         831809.94,         783528.18,         765264.95,         890981.31,         876923.52,         838971.31,         904085.98,         846554.89,         868077.24,         947997.66,         847481.52,         733340.86,         685092.65,         657171.59,         578792.33,         471613.97,         431213.42,         416442.79,         446898.57,         438008.22,         416812.74,         450490.20,         452301.67,         379130.26,         353550.17,         362962.87,         327500.33,         318330.51,         258336.71,         261910.51
Netherlands,...,...,Export,No. Of Export partners,            234.00,            232.00,            235.00,            233.00,            229.00,            233.00,            229.00,            228.00,            227.00,            225.00,            228.00,            230.00,            228.00,            228.00,            224.00,            223.00,            225.00,            226.00,            216.00,            209.00,            210.00,            208.00,            206.00,            212.00,            211.00,            210.00,            207.00,,,,
Netherlands,...,...,Export,No. Of Export products,           4465.00,           4458.00,           4493.00,           4484.00,           4490.00,           4493.00,           4485.00,           4508.00,           4476.00,           4464.00,           4463.00,           4476.00,           4729.00,           4730.00,           4727.00,           4699.00,           4630.00,           4682.00,           4644.00,           4665.00,           4829.00,           4836.00,           4681.00,           4778.00,           4789.00,           4813.00,           4800.00,,,,
Netherlands,...,...,Import,No. Of Import partners,            227.00,            225.00,            225.00,            226.00,            229.00,            231.00,            229.00,            228.00,            220.00,            217.00,            219.00,            221.00,            221.00,            217.00,            210.00,            210.00,            209.00,            209.00,            203.00,            196.00,            202.00,            200.00,            195.00,            199.00,            199.00,            195.00,            193.00,,,,
Netherlands,...,...,Import,No. Of Import products,           4506.00,           4496.00,           4532.00,           4519.00,           4516.00,           4528.00,           4532.00,           4546.00,           4519.00,           4518.00,           4525.00,           4526.00,           4786.00,           4784.00,           4781.00,           4792.00,           4766.00,           4821.00,           4820.00,           4855.00,           4884.00,           4890.00,           4859.00,           4931.00,           4933.00,           4942.00,           4928.00,,,,
Netherlands,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,...,...,Development,Trade Balance (current US$ Mil),         100417.10,          89463.86,          80011.27,          57404.19,          98917.29,          89548.13,          81701.82,          77157.98,          68446.26,          65839.12,          80839.31,          60112.24,          62994.61,          57941.80,          50864.17,          38479.68,          32255.79,          28279.19,          27254.47,          24168.98,          26844.03,          26589.11,          27227.45,          29957.45,          24721.44,          22213.70,          17249.67,          16730.76,          15267.52,          10396.87,           9132.49
Netherlands,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          56273.99,          54367.27,          48188.57,          46986.03,          62936.27,          63230.94,          62384.79,          62805.06,          54730.61,          48299.83,          63312.90,          56823.20,          49767.76,          40914.70,          36606.94,          31037.43,          25964.66,          25530.58,          25134.09,          18289.06,,,,,,,,,,,
Netherlands,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          51820.78,          47663.68,          41365.02,          41848.96,          49184.57,          49411.76,          48464.50,          49988.06,          42243.16,          38290.26,          49942.60,          45416.31,          38989.92,          33516.38,          30964.58,          26619.04,          21334.88,          18073.15,          18401.29,          14924.49,,,,,,,,,,,
Netherlands,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,          17670.84,          20995.49,          21240.83,          21162.57,          18050.72,          15526.07,          18987.38,,,,
Netherlands,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,          14397.81,          15285.04,          16563.58,          17247.03,          14690.32,          12614.89,          18924.71,,,,
Netherlands,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          46018.95,          40787.75,          35980.87,          35672.10,          47026.71,          42060.63,          41012.54,          42497.11,          41097.21,          30604.22,          36833.04,          36183.26,          28903.83,          23690.32,          18082.78,,,,,,,,,,,,,,,,
Netherlands,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          43457.56,          42561.93,          37956.73,          34655.52,          46843.51,          47515.99,          46606.05,          46316.01,          43089.33,          38347.76,          47707.81,          39195.28,          33023.34,          32004.65,          30705.35,          26533.34,          22107.63,          22343.51,          22555.33,          17523.87,          16338.43,          19215.81,          17477.83,          17636.57,          13978.89,          12409.86,          13729.71,,,,
Netherlands,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,          12863.38,          11178.84,          11300.79,          11335.80,          10256.47,          10227.49,          11244.62,          10924.52,          10937.06,           9395.36,           8081.92,          10545.54,,,,
Netherlands,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         120452.83,         120680.92,         107317.37,          97741.07,         138340.03,         141286.15,         136451.85,         126681.98,         119690.61,         104921.01,         133509.59,         112490.19,          99146.67,          83272.32,          75773.81,          64216.03,          53348.20,          55260.69,          54912.53,          41687.65,          39611.19,          46094.98,          45896.31,          46123.32,          38267.22,          34730.92,          37946.68,,,,
Netherlands,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          88213.92,          83973.58,          73924.63,          70878.57,          83336.33,          83975.51,          79488.59,          83843.13,          78104.31,          73281.54,          95216.95,          84579.79,          69729.45,          59126.33,          55828.06,          46470.13,          37702.36,          36055.70,          35433.27,          28374.10,          27150.24,          29075.77,          32895.99,          34168.20,          28787.66,          25124.14,          33437.92,,,,
Netherlands,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,          24754.73,          26100.56,,,          24664.40,          22334.05,          28894.47,,,          20007.50,          19446.38,          16008.43,          13487.25,          13504.09,          12621.40,,,          11136.95,,,,,,,,,
Netherlands,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,          10294.15,          16913.96,,          16630.47,          15173.99,          13282.92,          11428.03,          10408.01,,,,
Netherlands,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          44884.54,          44299.53,          42894.98,          38784.79,          48588.05,          48341.71,          44544.90,          41892.83,          39323.54,          36107.42,          49490.83,          43508.16,          35714.63,          32219.56,          32052.95,          27099.92,          24116.27,          24080.59,          23074.34,          16896.27,          15035.30,          17810.64,          14846.77,          15182.98,          12533.84,          10918.54,          11921.20,,,,
Netherlands,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          28785.20,          26292.39,          23332.39,          20604.58,          33764.99,          36345.85,          35204.13,          32335.91,          29336.73,          24616.21,          31272.70,          26854.41,          22783.61,          19357.50,          18248.00,          16999.88,          15558.47,          17429.01,          19015.85,          15515.74,          14407.49,          16240.41,          14364.96,          14614.26,          11379.50,          10056.68,          11394.99,,,,
Netherlands,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          26777.34,          22344.45,          19527.94,          19532.66,,,          26085.39,          23310.15,,,,          23904.59,          20289.21,,,,,,,,,,,,,,,,,,
Netherlands,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          39524.33,          34909.20,          33470.10,          31798.69,          36214.01,          34592.46,          33945.10,          32157.00,          33216.01,          32081.66,          39955.90,          33091.65,          29846.02,          24457.60,          22684.25,          18374.24,          17232.74,          19280.36,          20319.08,          16649.96,          14693.83,          16121.43,          13497.39,          13291.96,          10267.98,           9833.40,          10225.54,,,,
Netherlands,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,World,Animal,Export,Export(US$ Mil),          25855.62,          25222.03,          22340.32,          21634.04,          27120.15,          26679.03,          24390.90,          25265.17,          19765.94,          18617.20,          21159.73,          18261.08,          15004.12,          13892.33,          13349.11,          11547.92,           9334.02,           9111.24,           9202.03,           9702.52,           9505.31,           9721.63,          12067.37,          12338.27,          10993.48,          10985.86,          12333.90,,,,
Netherlands,World,Capital goods,Export,Export(US$ Mil),         172805.21,         152129.53,         135158.04,         131254.61,         154741.49,         147799.64,         142757.51,         155234.60,         131645.20,         113366.61,         144080.17,         141916.13,         117479.71,         106434.55,          96986.25,          78136.73,          57546.16,          57999.80,          64588.18,          59140.71,          53941.46,          55550.63,          47454.55,          44070.10,          34446.89,          30627.86,          31342.19,,,,
Netherlands,World,Chemicals,Export,Export(US$ Mil),          72375.60,          68670.09,          55854.75,          56172.79,          78951.87,          77703.62,          70264.79,          68735.63,          56247.01,          47745.28,          55138.03,          55627.75,          45587.01,          39535.26,          35677.56,          29798.23,          23856.90,          20845.19,          19077.56,          17742.47,          20038.84,          21947.00,          19780.50,          20734.19,          16118.22,          13258.38,          13894.53,,,,
Netherlands,World,Consumer goods,Export,Export(US$ Mil),         210476.21,         186073.89,         167158.38,         165246.89,         229063.82,         236307.01,         198636.67,         199697.93,         152615.53,         132738.09,         165118.33,         138289.64,         115857.77,          99047.00,          88868.62,          74956.51,          60589.09,          58219.19,          63908.60,          52659.85,          50881.61,          61107.88,          54753.93,          54990.26,          46114.67,          42441.69,          45811.77,,,,
Netherlands,World,Food Products,Export,Export(US$ Mil),          38889.74,          37024.00,          35157.65,          33861.24,          40615.82,          39461.60,          35631.10,          37415.35,          30187.88,          28889.41,          30352.89,          26428.73,          21931.90,          20232.36,          19563.22,          17490.14,          14833.13,          12615.15,          12131.33,          12936.59,          12225.08,          13283.04,          14511.45,          15167.16,          12753.37,          11465.62,          11651.35,,,,
Netherlands,World,Footwear,Export,Export(US$ Mil),           4436.34,           3982.36,           3683.04,           3373.19,           3996.42,           3738.02,           3332.86,           3569.10,           2627.94,           2433.41,           2426.11,           1988.60,           1741.48,           1659.17,           1487.87,           1236.65,            838.80,            970.82,            842.11,            764.27,            707.83,            651.82,            682.79,            686.69,            584.67,            584.42,            532.81,,,,
Netherlands,World,Fuels,Export,Export(US$ Mil),          63152.78,          69188.47,          56384.82,          47636.17,          96406.42,         113243.70,          79895.35,          72824.99,          50072.16,          35570.51,          58443.16,          42368.20,          34568.54,          26267.10,          18666.14,          14974.65,          12288.66,          13384.15,          17840.14,          11384.97,          10735.54,          13321.62,          14541.99,          12599.74,          11033.23,          11722.41,          12005.83,,,,
Netherlands,World,Hides and Skins,Export,Export(US$ Mil),           2784.72,           2453.38,           2207.59,           2093.57,           2306.11,           2199.49,           1959.10,           2016.72,           1300.39,           1133.25,           1247.79,           1223.34,           1037.71,            924.28,            845.57,            752.56,            643.77,            627.15,            648.75,            643.65,            621.47,            739.54,            766.65,            806.47,            783.77,            723.70,            858.29,,,,
Netherlands,World,Intermediate goods,Export,Export(US$ Mil),         118020.80,         115505.00,          94277.44,          95870.82,         127651.56,         127256.53,         119231.59,         121951.90,          96075.76,          79822.81,         106549.23,          99234.75,          80662.23,          68896.18,          64112.43,          53183.77,          40920.32,          38024.92,          36321.91,          35456.96,          41133.62,          43959.53,          41737.21,          45260.77,          34809.44,          30099.52,          33261.06,,,,
Netherlands,World,Mach and Elec,Export,Export(US$ Mil),         126912.61,         114704.83,         101783.83,         100091.54,         121367.20,         116060.24,         112936.27,         129309.10,         114591.65,          99530.72,         124648.67,         125172.69,          95826.95,          87956.33,          80435.89,          63710.60,          44607.12,          47658.47,          54717.84,          49781.44,          45586.69,          48047.72,          39723.84,          35499.01,          27944.53,          24729.04,          24178.55,,,,
