Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Palau,...,...,Development,GDP (current US$ Mil),            283.99,            286.32,            300.13,            280.38,            243.15,            223.39,            211.10,            193.14,            183.50,            183.37,            198.02,            194.63,            189.03,            184.47,            164.89,            153.76,            163.03,            156.74,            146.11,,,,,,,,,,,,
Palau,...,...,Export,No. Of Export partners,             18.00,             13.00,             16.00,             19.00,             25.00,,             21.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,...,...,Export,No. Of Export products,            126.00,            249.00,            326.00,            348.00,            366.00,,            368.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,...,...,Import,No. Of Import partners,            116.00,            104.00,            105.00,            107.00,             93.00,             68.00,             65.00,             64.00,             58.00,             62.00,             62.00,             55.00,,,,,,,,,,,,,,,,,,,
Palau,...,...,Import,No. Of Import products,           2984.00,           2940.00,           3026.00,           2989.00,           2938.00,           2973.00,           2928.00,           2957.00,           2958.00,           2966.00,           3082.00,           3138.00,,,,,,,,,,,,,,,,,,,
Palau,...,...,Tariff,No. Of Tariff Agreement,              1.00,              1.00,              1.00,              1.00,,,              1.00,              1.00,              1.00,,,,,,,,,,,,,,,,,,,,,,
Palau,...,...,Development,Trade Balance (current US$ Mil),            -83.23,            -78.26,            -57.91,            -48.47,            -73.44,            -62.92,            -62.40,            -57.20,            -48.53,            -46.67,            -60.85,            -52.65,            -65.44,            -61.08,            -72.51,            -56.41,            -57.72,            -62.18,            -96.31,,,,,,,,,,,,
Palau,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,              8.81,             11.45,              7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Guam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              0.93,              0.25,              1.27,              0.28,,              0.28,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Guam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,              8.13,             20.31,             46.04,             31.68,             18.43,             13.88,             29.01,             13.02,,,,,,,,,,,,,,,,,,,
Palau,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              0.28,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              6.66,              1.50,              0.11,              0.38,              4.63,,              7.42,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             15.59,             19.79,             19.96,             17.39,             20.08,             35.21,             13.71,             20.33,             13.17,              7.50,             11.77,             10.30,,,,,,,,,,,,,,,,,,,
Palau,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             15.85,             11.54,             11.11,              9.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,"Micronesia, Fed. Sts.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              0.12,              0.13,              0.24,,              0.25,,,,,,,,,,,,,,,,,,,,,,,,
Palau,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,              8.40,,              6.49,              6.90,              5.50,              5.69,,              5.90,,,,,,,,,,,,,,,,,,,,
Palau,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Philippines,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,              8.91,,,,,              6.89,,              7.01,,,,,,,,,,,,,,,,,,,
Palau,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             26.28,             24.09,             17.47,             22.28,             32.47,             40.11,              6.67,             20.82,             19.18,             13.48,             25.99,             28.47,,,,,,,,,,,,,,,,,,,
Palau,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.23,              0.54,              0.58,              2.17,              4.37,,              0.31,,,,,,,,,,,,,,,,,,,,,,,,
Palau,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             53.67,             56.56,             64.45,             56.70,             54.84,             47.03,             52.59,             36.88,             37.40,             35.22,             38.71,             36.32,,,,,,,,,,,,,,,,,,,
Palau,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.77,              2.50,              5.15,              2.29,              1.37,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Tariff,Duty Free Imports (US$ Thousand),          30863.98,          30863.98,          30486.54,          30718.22,,,          26295.23,          26295.23,          26295.23,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Animal,Export,Export(US$ Mil),              7.60,              1.29,              0.38,              0.51,              5.34,,              7.60,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Capital goods,Export,Export(US$ Mil),              0.64,              4.37,              5.07,              3.87,              3.13,,              0.56,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Chemicals,Export,Export(US$ Mil),              0.04,              0.00,              0.03,              0.08,              0.02,,              0.05,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Consumer goods,Export,Export(US$ Mil),              0.15,              0.50,              0.83,              0.61,              1.33,,              0.52,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Food Products,Export,Export(US$ Mil),              0.05,              0.10,              0.17,              0.13,              0.13,,              0.23,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Footwear,Export,Export(US$ Mil),              0.00,              0.00,              0.00,              0.00,              0.00,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Fuels,Export,Export(US$ Mil),,              0.03,              0.00,,,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Hides and Skins,Export,Export(US$ Mil),              0.00,              0.00,              0.01,              0.00,              0.22,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Intermediate goods,Export,Export(US$ Mil),              0.04,              0.04,              0.13,              1.27,              1.34,,              0.24,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Mach and Elec,Export,Export(US$ Mil),              0.16,              2.08,              1.05,              1.17,              1.47,,              0.22,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Metals,Export,Export(US$ Mil),              0.18,              0.41,              0.35,              1.45,              1.44,,              0.43,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Minerals,Export,Export(US$ Mil),              0.05,              0.04,              0.00,              0.00,              0.03,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Miscellaneous,Export,Export(US$ Mil),              0.01,              1.19,              3.64,              2.28,              1.42,,              0.24,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Plastic or Rubber,Export,Export(US$ Mil),              0.02,              0.02,              0.05,              0.11,              0.06,,              0.02,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Raw materials,Export,Export(US$ Mil),              7.79,              1.51,              0.50,              0.63,              5.60,,              7.65,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Stone and Glass,Export,Export(US$ Mil),              0.00,              0.01,              0.01,              0.02,              0.02,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Textiles and Clothing,Export,Export(US$ Mil),              0.00,              0.02,              0.05,              0.02,              0.02,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Transportation,Export,Export(US$ Mil),              0.47,              1.16,              0.78,              0.39,              0.65,,              0.14,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Vegetable,Export,Export(US$ Mil),              0.00,              0.00,              0.02,              0.01,              0.00,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Wood,Export,Export(US$ Mil),              0.03,              0.07,              0.01,              0.22,              0.60,,              0.03,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Export,Exports (in US$ Mil),              8.62,              6.42,              6.54,              6.38,             11.40,,              9.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Capital goods,Import,Import(US$ Mil),             27.01,             33.66,             33.46,             30.97,             30.75,             33.80,             22.11,             19.65,             20.35,             14.69,             22.08,             19.22,,,,,,,,,,,,,,,,,,,
Palau,World,Consumer goods,Import,Import(US$ Mil),            100.94,             97.99,             96.49,             95.93,            109.04,            113.48,            102.01,             91.69,             71.38,             58.88,             89.19,             77.86,,,,,,,,,,,,,,,,,,,
Palau,World,Intermediate goods,Import,Import(US$ Mil),             13.74,             15.45,             12.88,             12.33,             14.18,             11.95,              8.77,              9.48,              8.60,              9.27,             11.54,             10.61,,,,,,,,,,,,,,,,,,,
Palau,World,Raw materials,Import,Import(US$ Mil),              9.74,             10.22,             10.12,             10.54,             10.17,              9.15,              8.85,              8.07,              6.65,              6.97,              7.19,              7.86,,,,,,,,,,,,,,,,,,,
Palau,World,All Products,Import,Imports (in US$ Mil),            154.41,            157.81,            153.51,            150.32,            164.99,            168.55,            141.90,            129.18,            107.19,             89.86,            130.09,            116.02,,,,,,,,,,,,,,,,,,,
Palau,...,...,Development,"GNI per capita, Atlas method (current US$)",          17280.00,          16400.00,          16870.00,  16180.00,  14020.00,  12830.00,  12590.00,  12140.00,  11430.00,  11200.00,  11640.00,  11660.00,  10760.00,  10570.00,   9420.00,   8820.00,   9180.00,,,,,,,,,,,,,,
Palau,...,...,Trade Indicator,HH Market concentration index,              0.52,              0.67,              0.44,      0.32,      0.58,      0.81,      0.84,      0.86,      0.76,      0.83,      0.73,      0.75,,,,,,,,,,,,,,,,,,,
Palau,...,...,Trade Indicator,Index of export market penetration,              1.17,              1.17,              1.12,      1.06,      1.06,      1.08,      1.07,      1.08,      1.06,      1.10,      1.10,      1.09,,,,,,,,,,,,,,,,,,,
Palau,...,...,Development,Trade (% of GDP),            123.30,            127.37,            123.05,    133.99,    152.69,    146.85,    151.01,    143.00,    127.04,    118.94,    131.35,    121.45,    131.34,    124.16,    126.94,    118.65,    127.50,    128.95,    153.64,,,,,,,,,,,,
Palau,...,...,Development,Trade Balance (% of GDP),            -29.31,            -27.33,            -19.29,    -17.29,    -30.20,    -28.16,    -29.56,    -29.61,    -26.45,    -25.45,    -30.73,    -27.05,    -34.62,    -33.11,    -43.98,    -36.69,    -35.40,    -39.67,    -65.92,,,,,,,,,,,,
