Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Qatar,...,...,Development,GDP (current US$ Mil),         191362.09,         166928.57,         151732.14,         161739.84,         206224.73,         198727.75,         186833.52,         167775.27,         125122.31,          97798.35,         115270.05,          79712.09,          60882.14,          44530.49,          31734.07,          23533.79,          19363.74,          17538.46,          17759.89,          12393.13,          10255.50,          11297.80,           9059.34,           8137.91,           7374.45,           7156.59,           7646.15,           6883.52,           7360.44,           6487.91,           6038.19
Qatar,...,...,Export,No. Of Export partners,            152.00,            152.00,            157.00,            165.00,            158.00,            157.00,            159.00,,            138.00,,            104.00,            122.00,            118.00,            115.00,            106.00,            103.00,            103.00,             72.00,            111.00,,,,,,,,,,,,
Qatar,...,...,Export,No. Of Export products,             83.00,            147.00,             96.00,           2305.00,            152.00,            156.00,              1.00,,            142.00,,            122.00,           1789.00,           1618.00,           1652.00,            898.00,            638.00,           1090.00,            190.00,            930.00,,,,,,,,,,,,
Qatar,...,...,Import,No. Of Import partners,            139.00,            135.00,            113.00,            175.00,            162.00,            160.00,            140.00,,            130.00,,            141.00,            134.00,            120.00,            117.00,            115.00,            117.00,            111.00,            121.00,            122.00,,,,,,,,,,,,
Qatar,...,...,Import,No. Of Import products,           3556.00,           4132.00,           3447.00,           4161.00,           4324.00,           4265.00,              1.00,,           4265.00,,           4290.00,           4320.00,           4231.00,           4215.00,           1606.00,           1372.00,           2101.00,           2098.00,           2069.00,,,,,,,,,,,,
Qatar,...,...,Tariff,No. Of Tariff Agreement,              5.00,              5.00,              5.00,              8.00,              4.00,              3.00,              3.00,,              1.00,,              3.00,              3.00,              3.00,              3.00,              1.00,              1.00,              1.00,,,,,,,,,,,,,,
Qatar,...,...,Development,Trade Balance (current US$ Mil),          36750.00,          23011.81,           8921.98,          33019.78,          76224.45,          85557.14,          88182.69,          78045.33,          48258.52,          21638.46,          38375.55,          19482.14,          16477.47,          15774.73,          12047.53,           7820.33,           6238.19,           6457.14,           7983.79,           4256.87,           1141.76,           1368.68,            357.14,             82.14,            818.68,,,,,,
Qatar,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8959.94,           7244.97,           4485.83,           5238.22,          10109.15,           8864.56,           6814.14,,,,,,,,,,,            327.04,,,,,,,,,,,,,
Qatar,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3851.06,           3395.85,           3315.49,           3765.05,           3212.34,           2659.73,           2462.68,,           2103.89,,           2012.81,,,,,,,,,,,,,,,,,,,,
Qatar,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           1606.12,,,,,,,,,,,,,,,,
Qatar,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1909.01,           2075.61,           2965.46,           2442.33,           2171.14,           1775.36,,,           1684.00,,           2342.60,           1818.62,           1533.26,            923.63,            315.63,            472.45,,            344.64,            265.67,,,,,,,,,,,,
Qatar,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           6429.11,           8280.48,           7380.67,           9286.45,          16739.73,          14303.20,          14629.77,,           6435.54,,,           2670.39,           1658.16,,           1005.78,,,,,,,,,,,,,,,,
Qatar,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1935.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,           2053.19,           2432.81,           1522.92,            649.65,,            364.40,            366.18,            367.86,,,,,,,,,,,,,
Qatar,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9571.22,          11573.68,          10935.05,          16194.23,          33288.67,          39923.18,          36890.86,,          21484.38,,          23223.05,          17052.79,          14117.65,          10304.03,           7778.90,           6158.40,           2378.27,           5542.63,           2468.56,,,,,,,,,,,,
Qatar,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1582.24,           2136.36,           2134.15,           1954.23,           1913.73,           2060.34,,           1750.87,,           2688.21,           2361.76,           1973.33,           1171.17,,            512.76,            426.53,            357.86,            358.30,,,,,,,,,,,,
Qatar,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          11634.81,          10692.57,           8972.06,          13488.84,          24722.65,          24550.64,          24675.80,,          12030.28,,          13609.40,           7334.65,           4724.92,           4058.12,           2933.30,           2477.74,           1737.07,           2143.85,           1952.28,,,,,,,,,,,,
Qatar,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            571.15,,,,,,,,,,,,,,,,
Qatar,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4985.71,           6305.02,,,           8093.92,           6963.10,           7037.94,,           5818.92,,           7352.37,           4751.00,           3218.58,           2111.61,           1694.86,           1273.64,           1017.09,            735.69,            824.03,,,,,,,,,,,,
Qatar,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,           1923.93,,,,            399.01,,,,,,,,,,,,,,,
Qatar,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           3756.76,           4734.99,,,,,           4278.94,,           3366.01,,,           1175.79,,,            436.06,,            512.69,,,,,,,,,,,,
Qatar,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1653.15,           2908.45,           2860.80,           2492.67,           1973.78,           2004.73,,           1592.19,,,           1637.64,            990.82,            647.24,            379.48,,            285.53,,            225.22,,,,,,,,,,,,
Qatar,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1761.94,,,,,,,,,,,,,,,            392.97,            308.69,            302.94,            252.54,,,,,,,,,,,,
Qatar,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,            378.81,,,,,,,,,,,,,
Qatar,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           6118.00,           4914.37,           4600.29,           3575.67,           3485.34,           3207.34,           2765.14,,           2745.27,,           2519.56,           2628.17,           1622.67,           1162.76,            577.47,            596.41,            528.26,            517.69,            335.07,,,,,,,,,,,,
Qatar,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,           6126.21,,           3400.35,           2788.64,           1467.04,            876.43,            519.12,,           1131.50,,,,,,,,,,,,
