Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        1709948.45,        1691260.08,        1556636.33,        1663809.54,        1830703.20,        1747711.13,        1640738.70,        1553140.16,        1371497.00,        1150760.92,        1211848.82,        1057198.43,         909662.88,         765183.29,         644839.12,         517373.03,         412651.66,         378521.85,         396946.33,         372511.68,         369368.20,         382774.36,         368119.58,         356311.77,         310731.80,         315395.60,         338103.75,         342830.80,         337823.35,         301768.92,         303520.74
,...,...,Export,No. Of Export partners,            229.00,            233.00,            226.00,            230.00,            232.00,            232.00,            235.00,            234.00,            232.00,            232.00,            231.00,            231.00,            226.00,            228.00,            230.00,            228.00,            229.00,            228.00,            227.00,            215.00,            218.00,            211.00,            208.00,            208.00,            194.00,            185.00,            174.00,            102.00,            105.00,,
,...,...,Export,No. Of Export products,           4564.00,           4578.00,           4562.00,           4546.00,           4598.00,           4612.00,           4713.00,           4705.00,           4714.00,           4686.00,           4751.00,           4824.00,           4843.00,           4848.00,           4857.00,           4873.00,           4866.00,           4891.00,           4875.00,           4868.00,           4840.00,           4854.00,           4846.00,           4834.00,           4652.00,           4609.00,           4552.00,           1766.00,           1831.00,,
,...,...,Import,No. Of Import partners,            237.00,            236.00,            233.00,            235.00,            235.00,            234.00,            236.00,            236.00,            236.00,            235.00,            234.00,            234.00,            234.00,            233.00,            232.00,            233.00,            236.00,            234.00,            234.00,            220.00,            221.00,            220.00,            216.00,            221.00,            195.00,            185.00,            171.00,            102.00,            109.00,,
,...,...,Import,No. Of Import products,           4625.00,           4640.00,           4628.00,           4618.00,           4744.00,           4780.00,           4854.00,           4857.00,           4891.00,           4915.00,           4925.00,           4971.00,           4953.00,           4962.00,           4988.00,           4994.00,           5003.00,           5002.00,           5014.00,           5011.00,           5015.00,           5019.00,           5023.00,           5016.00,           4988.00,           4928.00,           4850.00,           3901.00,           3980.00,,
,...,...,Tariff,No. Of Tariff Agreement,            788.00,            572.00,            693.00,            645.00,            551.00,            517.00,            578.00,            685.00,            563.00,            522.00,            593.00,            483.00,            417.00,            284.00,            140.00,            134.00,            219.00,            144.00,             87.00,             20.00,             91.00,             12.00,             82.00,             38.00,             40.00,,,,,,
,...,...,Development,Trade Balance (current US$ Mil),         -48520.34,         -38807.34,         -70757.15,         -81594.03,         -19321.03,         -30211.67,          51049.87,          41813.78,          17190.02,         -35359.53,          30487.56,           6391.78,          38880.50,          11558.49,           4498.69,           -540.68,           5468.00,           4302.62,          18211.71,           1480.00,         -10246.50,          -1230.21,           1034.49,            101.15,             78.05,           2898.33,           4907.29,           6514.36,           8839.64,           8821.14,           3820.81
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          37570.07,          38256.93,          24372.49,          25052.74,          46148.13,          55458.09,          60483.43,          54443.31,          44680.42,          32844.40,          18886.47,          22986.84,           8227.57,           5736.94,,,,,,,,,,,,,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          45009.98,          42884.10,          41706.83,          37874.11,          47929.14,          47931.62,          40501.65,          40544.61,          35244.70,          27568.13,          25656.48,          23088.91,          15978.02,           9650.82,           6725.68,,,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,          10961.16,,          11367.88,           8519.74,,           4802.21,           5119.13,           4325.32,           4361.29,           4592.47,           3704.99,           2912.83,           2941.54,           3495.68,           2368.64,,,,             93.82,             98.50,,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,          13212.42,          11922.21,          12047.25,          12613.27,           9846.66,           8407.78,           8301.78,           7080.88,           5295.31,           4997.27,           4771.93,           5061.92,           5698.06,           5153.98,           4681.23,           3700.97,           1869.26,,,            153.36,            190.57,,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,           3424.50,,           2887.03,           2748.73,,,,,,           1130.90,            101.92,             90.82,,
