Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Slovak Republic,...,...,Development,GDP (current US$ Mil),         105904.63,          95241.44,          89640.74,          88457.17,         101171.22,          98723.94,          94416.58,          98997.52,          90183.99,          89046.29,         100469.51,          86454.08,          70708.10,          62785.31,          57332.02,          46816.59,          35130.34,          30752.15,          29169.95,          30453.38,          29856.00,          27706.03,          27925.04,          25840.15,          20162.94,          16520.68,          15495.51,          14272.20,          12747.38,,
Slovak Republic,...,...,Export,No. Of Export partners,            201.00,            196.00,            203.00,            201.00,            201.00,            193.00,            192.00,            189.00,            191.00,            186.00,            190.00,            188.00,            189.00,            182.00,            187.00,            186.00,            182.00,            182.00,            181.00,            159.00,            164.00,            157.00,            156.00,            162.00,            167.00,,,,,,
Slovak Republic,...,...,Export,No. Of Export products,           3902.00,           3878.00,           3894.00,           3905.00,           3916.00,           3901.00,           3888.00,           3880.00,           3854.00,           3876.00,           2945.00,           2980.00,           3006.00,           3093.00,           4031.00,           4114.00,           4127.00,           4140.00,           4092.00,           4073.00,           4111.00,           4164.00,           2842.00,           2986.00,           4197.00,,,,,,
Slovak Republic,...,...,Import,No. Of Import partners,            228.00,            231.00,            228.00,            225.00,            220.00,            224.00,            212.00,            219.00,            216.00,            215.00,            223.00,            212.00,            219.00,            215.00,            214.00,            191.00,            200.00,            190.00,            186.00,            156.00,            156.00,            162.00,            169.00,            172.00,            165.00,,,,,,
Slovak Republic,...,...,Import,No. Of Import products,           4403.00,           4426.00,           4423.00,           4443.00,           4440.00,           4456.00,           4463.00,           4468.00,           4450.00,           4450.00,           4157.00,           4183.00,           4347.00,           4363.00,           4713.00,           4684.00,           4662.00,           4726.00,           4700.00,           4711.00,           4726.00,           4743.00,           4096.00,           4178.00,           4768.00,,,,,,
Slovak Republic,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,              2.00,,,,,,,,,,,,,,
Slovak Republic,...,...,Development,Trade Balance (current US$ Mil),           2145.08,           2084.31,           2643.78,           2720.00,           4874.42,           5531.89,           5211.10,            698.18,           -279.68,           -150.00,          -1783.20,            373.63,          -1517.81,          -1961.48,           -893.08,           -224.24,          -2259.90,          -2288.86,           -693.51,          -1458.25,          -3295.00,          -2873.13,          -3695.19,           -180.68,            459.02,          -1203.95,          -1019.96,           -668.14,          -1216.17,,
Slovak Republic,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           4514.70,           5218.39,           5244.99,           5224.14,           5509.62,           4456.97,,,,           2524.74,           2271.55,           2192.11,           1632.90,           1112.07,           1026.97,            994.50,            808.93,            800.31,            691.39,            493.16,            414.52,            351.31,,,,,,
Slovak Republic,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            989.59,,            612.41,            503.11,            537.23,            609.05,            584.78,            478.20,            445.95,            381.41,,,,,,
Slovak Republic,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5543.25,           6106.80,           6344.74,           6464.43,           6674.07,,,,,,,           3041.89,,,,,,,,,,,,,,,,,,,
