Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Swaziland,...,...,Development,GDP (current US$ Mil),           4710.62,           4446.25,           3840.68,           4073.39,           4422.30,           4597.70,           4886.66,           4820.50,           4438.78,           3580.42,           3294.09,           3469.36,           3291.35,           3178.13,           2770.08,           2197.61,           1432.23,           1542.48,           1738.10,           1547.88,           1576.90,           1716.70,           1602.76,           1698.98,           1419.29,           1357.21,           1284.77,           1156.14,           1114.70,            696.92,            692.02
Swaziland,...,...,Export,No. Of Export partners,,             90.00,             93.00,            102.00,             96.00,             96.00,,,,,,             31.00,             41.00,             33.00,             32.00,             35.00,             37.00,             30.00,             76.00,,,,,,,,,,,,
Swaziland,...,...,Export,No. Of Export products,,           1856.00,           1880.00,           2137.00,           2086.00,           2107.00,,,,,,           2400.00,           2923.00,           2972.00,           2990.00,           3067.00,           3211.00,           3035.00,           2859.00,,,,,,,,,,,,
Swaziland,...,...,Import,No. Of Import partners,,            135.00,            116.00,            123.00,            114.00,            113.00,,,,,,             38.00,             42.00,             41.00,             31.00,             40.00,             45.00,             43.00,             78.00,,,,,,,,,,,,
Swaziland,...,...,Import,No. Of Import products,,           3954.00,           3942.00,           4019.00,           4022.00,           4043.00,,,,,,           4416.00,           4435.00,           4487.00,           4447.00,           4457.00,           4404.00,           4383.00,           4399.00,,,,,,,,,,,,
Swaziland,...,...,Tariff,No. Of Tariff Agreement,,              9.00,              4.00,              4.00,              4.00,              4.00,,,,,,              4.00,              3.00,              3.00,              3.00,,              4.00,              2.00,,,,,,,,,,,,,
Swaziland,...,...,Development,Trade Balance (current US$ Mil),           -160.66,            -33.99,             55.96,             86.22,            -27.96,           -263.50,           -306.91,           -535.36,           -609.07,           -292.83,           -233.45,            253.15,            156.49,           -348.65,           -196.48,            -99.92,           -196.54,           -123.81,           -240.97,           -251.79,           -277.58,           -254.09,           -341.03,           -233.30,           -130.38,           -259.11,           -240.81,           -131.54,           -109.90,            -19.37,            -23.53
Swaziland,Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             37.19,             42.36,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            441.54,,,,,,,,,,,,,,,,,
Swaziland,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             14.31,,,,,,,,,,,,,,,
Swaziland,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             58.36,,,,,,,,,,,             67.75,             78.38,,,,,,,,,,,,,
Swaziland,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            105.76,             49.07,             62.40,             69.89,             68.24,,,,,,             50.75,             24.60,             65.91,             17.96,             21.79,,,,,,,,,,,,,,,
Swaziland,"Congo, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,            161.52,,,,,,,,,,,,,
Swaziland,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,            500.84,,,,,,,,,,,,,,
Swaziland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             25.38,,,,,,,,,,,,,,,,,,
Swaziland,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             18.90,,,             36.10,             11.92,,,,,,,,,,,,
Swaziland,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             36.08,             32.04,             60.67,             24.35,             17.64,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,Ireland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             16.47,             15.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             65.35,,,,,,            153.49,,,,,,,,,,,,,,,,,,,
Swaziland,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,             27.83,,,,,,,,,,,,,
Swaziland,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             30.09,             26.08,,,,             20.84,             22.38,              8.09,,,,,,,,,,,,
Swaziland,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            106.46,             62.03,             71.68,             65.55,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,Lesotho,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,              9.76,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,Madagascar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            134.41,,,,,,,,,,,,,,,,
Swaziland,Mozambique,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             59.45,             51.07,             73.48,             75.88,             79.59,,,,,,             20.21,            247.44,             96.60,            159.91,            120.82,            112.69,             41.68,             55.28,,,,,,,,,,,,
Swaziland,Mozambique,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,             57.31,,             37.99,,,,,,,,,,,,,,,
Swaziland,Namibia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             31.13,,,,,,,,,,,,,,,,,,,
Swaziland,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             21.53,,,,,,,,,,,,,,,,
Swaziland,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             84.19,             69.80,             85.32,             94.36,             48.85,,,,,,,,,,,,             19.32,,,,,,,,,,,,,
Swaziland,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            582.41,,,,,,,,,,,,,,,
Swaziland,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             20.59,             23.29,,,,,,             24.33,             37.97,             51.90,             61.52,             90.50,             34.49,,              8.05,,,,,,,,,,,,
Swaziland,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             19.24,             23.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1249.65,           1053.49,           1153.44,           1189.22,           1199.81,,,,,,            888.55,            446.12,            478.83,            907.75,            521.50,            205.90,            429.07,            530.67,,,,,,,,,,,,
Swaziland,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1248.45,           1057.85,           1182.62,           1464.98,           1546.17,,,,,,           1033.24,            995.23,           1339.29,           1567.75,           1199.34,            847.83,            740.15,           1022.13,,,,,,,,,,,,
Swaziland,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,             18.14,,,,,,,,,,,,,,
Swaziland,Tanzania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             35.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,Uganda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,            246.67,,,,,,,,,,,,,,,,,,
Swaziland,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,              5.58,,,,,,,,,,,,,,,,,,,
Swaziland,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            128.38,,,,,             32.91,,,,,,,,,,,,
Swaziland,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,             32.64,,,             19.22,             29.75,,,,,,,,,,,,,
Swaziland,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             48.86,             56.17,            135.43,            217.54,             64.31,,             78.68,,,,,,,,,,,,
Swaziland,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             28.69,,             20.90,             12.19,,,,,,,             17.39,,,,,,,,,,,,,,,,,,,
