Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
 World,...,...,Development,GDP (current US$ Mil),       85909815.76,       80950665.79,       76163901.59,       75049468.49,       79332694.96,       77236318.34,       75085130.39,       73393194.92,       66051218.49,       60334138.08,       63611618.97,       57968364.19,       51448295.87,       47457407.09,       43816559.02,       38902315.76,       34673868.08,       33395817.40,       33587708.26,       32542670.41,       31378238.43,       31439654.09,       31554611.84,       30871299.17,       27775143.98,       25869746.91,       25464450.04,       23981092.11,       22655565.77,       20114305.82,       19270450.58
 World,...,...,Export,No. Of Export partners,            238.00,            238.00,            239.00,            238.00,            238.00,            239.00,            238.00,            239.00,            237.00,            236.00,            235.00,            236.00,            236.00,            234.00,            235.00,            235.00,            237.00,            236.00,            235.00,            223.00,            222.00,            222.00,            222.00,            226.00,            226.00,            226.00,            224.00,            202.00,            204.00,            203.00,            200.00
 World,...,...,Export,No. Of Export products,           4668.00,           4686.00,           4755.00,           4771.00,           4802.00,           4794.00,           4824.00,           4806.00,           4846.00,           4888.00,           4918.00,           4954.00,           4950.00,           4966.00,           4969.00,           4985.00,           4977.00,           4984.00,           5016.00,           5028.00,           5033.00,           5034.00,           5036.00,           5037.00,           5037.00,           5037.00,           5038.00,           5036.00,           5036.00,           5035.00,           5032.00
 World,...,...,Import,No. Of Import partners,            240.00,            239.00,            238.00,            239.00,            238.00,            239.00,            238.00,            240.00,            238.00,            236.00,            236.00,            236.00,            236.00,            234.00,            235.00,            236.00,            237.00,            237.00,            236.00,            223.00,            222.00,            222.00,            222.00,            226.00,            226.00,            226.00,            224.00,            203.00,            204.00,            201.00,            199.00
 World,...,...,Import,No. Of Import products,           4781.00,           4826.00,           4869.00,           4862.00,           4872.00,           4876.00,           4902.00,           4909.00,           4925.00,           4938.00,           4949.00,           5010.00,           5010.00,           5020.00,           5017.00,           5020.00,           5025.00,           5033.00,           5034.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5038.00,           5036.00,           5036.00,           5036.00,           5035.00
 World,...,...,Tariff,No. Of Tariff Agreement,           1526.00,           1447.00,           1369.00,           1515.00,           1434.00,           1277.00,           1286.00,           1312.00,           1293.00,           1257.00,           1340.00,            847.00,            818.00,            670.00,            528.00,            413.00,            403.00,            322.00,            334.00,            277.00,            211.00,            322.00,            208.00,            155.00,             55.00,            124.00,             51.00,             44.00,             45.00,             43.00,             38.00
 World,...,...,Development,Trade Balance (current US$ Mil),         488701.00,         526436.53,         474932.43,         502665.35,         642292.57,         735616.95,         736334.87,         661918.57,         569344.67,         379608.05,         394813.15,         417916.43,         313580.91,         182702.51,         139248.65,          87193.40,          70381.17,         -15927.76,          13626.16,          78104.44,         116220.64,         150068.06,         114517.83,         126858.09,         114096.79,         103516.02,         104518.84,          13892.59,         -69912.47,         -78528.61,         -56833.70
 World,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,         101760.63,,,
 World,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,         112201.28,,,
 World,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,        1680278.56,        1561265.97,        1335641.39,        1340077.75,        1545072.80,        1554497.49,        1442109.52,        1430066.97,        1185320.23,         869876.67,         904291.11,         807344.46,         669109.20,         554679.77,         472021.14,         361534.49,,,,,,,,,,,,,,,
